,dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
89,12/01/2020,12,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
90,11/01/2020,11,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
91,10/01/2020,10,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
92,09/01/2020,9,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
93,08/01/2020,8,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
94,07/01/2020,7,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
95,06/01/2020,6,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
96,05/01/2020,5,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
97,04/01/2020,4,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
98,03/01/2020,3,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
99,02/01/2020,2,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
100,01/01/2020,1,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
101,31/12/2019,31,12,2019,0,0,AF,Asia,AFG,37172386.0,Afghanistan
102,20/04/2020,20,4,2020,14,0,AL,Europe,ALB,2866376.0,Albania
103,19/04/2020,19,4,2020,9,0,AL,Europe,ALB,2866376.0,Albania
104,18/04/2020,18,4,2020,21,0,AL,Europe,ALB,2866376.0,Albania
105,17/04/2020,17,4,2020,24,1,AL,Europe,ALB,2866376.0,Albania
106,16/04/2020,16,4,2020,19,1,AL,Europe,ALB,2866376.0,Albania
107,15/04/2020,15,4,2020,8,1,AL,Europe,ALB,2866376.0,Albania
108,14/04/2020,14,4,2020,21,0,AL,Europe,ALB,2866376.0,Albania
109,13/04/2020,13,4,2020,13,0,AL,Europe,ALB,2866376.0,Albania
110,12/04/2020,12,4,2020,17,0,AL,Europe,ALB,2866376.0,Albania
111,11/04/2020,11,4,2020,7,0,AL,Europe,ALB,2866376.0,Albania
112,10/04/2020,10,4,2020,9,1,AL,Europe,ALB,2866376.0,Albania
113,09/04/2020,9,4,2020,17,0,AL,Europe,ALB,2866376.0,Albania
114,08/04/2020,8,4,2020,6,0,AL,Europe,ALB,2866376.0,Albania
115,07/04/2020,7,4,2020,16,1,AL,Europe,ALB,2866376.0,Albania
116,06/04/2020,6,4,2020,28,2,AL,Europe,ALB,2866376.0,Albania
117,05/04/2020,5,4,2020,29,2,AL,Europe,ALB,2866376.0,Albania
118,04/04/2020,4,4,2020,27,1,AL,Europe,ALB,2866376.0,Albania
119,03/04/2020,3,4,2020,18,1,AL,Europe,ALB,2866376.0,Albania
120,02/04/2020,2,4,2020,16,0,AL,Europe,ALB,2866376.0,Albania
121,01/04/2020,1,4,2020,20,3,AL,Europe,ALB,2866376.0,Albania
122,31/03/2020,31,3,2020,11,2,AL,Europe,ALB,2866376.0,Albania
123,30/03/2020,30,3,2020,15,0,AL,Europe,ALB,2866376.0,Albania
124,29/03/2020,29,3,2020,11,1,AL,Europe,ALB,2866376.0,Albania
125,28/03/2020,28,3,2020,12,3,AL,Europe,ALB,2866376.0,Albania
126,27/03/2020,27,3,2020,28,1,AL,Europe,ALB,2866376.0,Albania
127,26/03/2020,26,3,2020,23,0,AL,Europe,ALB,2866376.0,Albania
128,25/03/2020,25,3,2020,23,1,AL,Europe,ALB,2866376.0,Albania
129,24/03/2020,24,3,2020,11,2,AL,Europe,ALB,2866376.0,Albania
130,23/03/2020,23,3,2020,13,0,AL,Europe,ALB,2866376.0,Albania
131,22/03/2020,22,3,2020,6,0,AL,Europe,ALB,2866376.0,Albania
132,21/03/2020,21,3,2020,0,0,AL,Europe,ALB,2866376.0,Albania
133,20/03/2020,20,3,2020,11,0,AL,Europe,ALB,2866376.0,Albania
134,19/03/2020,19,3,2020,4,1,AL,Europe,ALB,2866376.0,Albania
135,18/03/2020,18,3,2020,4,0,AL,Europe,ALB,2866376.0,Albania
136,17/03/2020,17,3,2020,9,0,AL,Europe,ALB,2866376.0,Albania
137,16/03/2020,16,3,2020,4,0,AL,Europe,ALB,2866376.0,Albania
138,15/03/2020,15,3,2020,5,0,AL,Europe,ALB,2866376.0,Albania
139,14/03/2020,14,3,2020,10,0,AL,Europe,ALB,2866376.0,Albania
140,13/03/2020,13,3,2020,12,0,AL,Europe,ALB,2866376.0,Albania
141,12/03/2020,12,3,2020,1,1,AL,Europe,ALB,2866376.0,Albania
142,11/03/2020,11,3,2020,4,0,AL,Europe,ALB,2866376.0,Albania
143,10/03/2020,10,3,2020,4,0,AL,Europe,ALB,2866376.0,Albania
144,09/03/2020,9,3,2020,2,0,AL,Europe,ALB,2866376.0,Albania
145,20/04/2020,20,4,2020,94,8,DZ,Africa,DZA,42228429.0,Algeria
146,19/04/2020,19,4,2020,117,3,DZ,Africa,DZA,42228429.0,Algeria
147,18/04/2020,18,4,2020,150,16,DZ,Africa,DZA,42228429.0,Algeria
148,17/04/2020,17,4,2020,108,12,DZ,Africa,DZA,42228429.0,Algeria
149,16/04/2020,16,4,2020,90,11,DZ,Africa,DZA,42228429.0,Algeria
150,15/04/2020,15,4,2020,87,12,DZ,Africa,DZA,42228429.0,Algeria
151,14/04/2020,14,4,2020,69,20,DZ,Africa,DZA,42228429.0,Algeria
152,13/04/2020,13,4,2020,89,18,DZ,Africa,DZA,42228429.0,Algeria
153,12/04/2020,12,4,2020,64,19,DZ,Africa,DZA,42228429.0,Algeria
154,11/04/2020,11,4,2020,95,21,DZ,Africa,DZA,42228429.0,Algeria
155,10/04/2020,10,4,2020,94,30,DZ,Africa,DZA,42228429.0,Algeria
156,09/04/2020,9,4,2020,104,12,DZ,Africa,DZA,42228429.0,Algeria
157,08/04/2020,8,4,2020,45,20,DZ,Africa,DZA,42228429.0,Algeria
158,07/04/2020,7,4,2020,103,21,DZ,Africa,DZA,42228429.0,Algeria
159,06/04/2020,6,4,2020,69,22,DZ,Africa,DZA,42228429.0,Algeria
160,05/04/2020,5,4,2020,80,25,DZ,Africa,DZA,42228429.0,Algeria
161,04/04/2020,4,4,2020,185,42,DZ,Africa,DZA,42228429.0,Algeria
162,03/04/2020,3,4,2020,139,5,DZ,Africa,DZA,42228429.0,Algeria
163,02/04/2020,2,4,2020,131,14,DZ,Africa,DZA,42228429.0,Algeria
164,01/04/2020,1,4,2020,132,9,DZ,Africa,DZA,42228429.0,Algeria
165,31/03/2020,31,3,2020,73,4,DZ,Africa,DZA,42228429.0,Algeria
166,30/03/2020,30,3,2020,57,2,DZ,Africa,DZA,42228429.0,Algeria
167,29/03/2020,29,3,2020,45,3,DZ,Africa,DZA,42228429.0,Algeria
168,28/03/2020,28,3,2020,42,1,DZ,Africa,DZA,42228429.0,Algeria
169,27/03/2020,27,3,2020,65,4,DZ,Africa,DZA,42228429.0,Algeria
170,26/03/2020,26,3,2020,38,2,DZ,Africa,DZA,42228429.0,Algeria
171,25/03/2020,25,3,2020,34,2,DZ,Africa,DZA,42228429.0,Algeria
172,24/03/2020,24,3,2020,29,0,DZ,Africa,DZA,42228429.0,Algeria
173,23/03/2020,23,3,2020,62,2,DZ,Africa,DZA,42228429.0,Algeria
174,22/03/2020,22,3,2020,37,5,DZ,Africa,DZA,42228429.0,Algeria
175,21/03/2020,21,3,2020,12,3,DZ,Africa,DZA,42228429.0,Algeria
176,20/03/2020,20,3,2020,18,1,DZ,Africa,DZA,42228429.0,Algeria
177,19/03/2020,19,3,2020,12,1,DZ,Africa,DZA,42228429.0,Algeria
178,18/03/2020,18,3,2020,2,1,DZ,Africa,DZA,42228429.0,Algeria
179,17/03/2020,17,3,2020,10,0,DZ,Africa,DZA,42228429.0,Algeria
180,16/03/2020,16,3,2020,11,2,DZ,Africa,DZA,42228429.0,Algeria
181,15/03/2020,15,3,2020,11,0,DZ,Africa,DZA,42228429.0,Algeria
182,14/03/2020,14,3,2020,1,1,DZ,Africa,DZA,42228429.0,Algeria
183,13/03/2020,13,3,2020,5,1,DZ,Africa,DZA,42228429.0,Algeria
184,12/03/2020,12,3,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
185,09/03/2020,9,3,2020,3,0,DZ,Africa,DZA,42228429.0,Algeria
186,06/03/2020,6,3,2020,5,0,DZ,Africa,DZA,42228429.0,Algeria
187,05/03/2020,5,3,2020,7,0,DZ,Africa,DZA,42228429.0,Algeria
188,04/03/2020,4,3,2020,2,0,DZ,Africa,DZA,42228429.0,Algeria
189,02/03/2020,2,3,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
190,01/03/2020,1,3,2020,2,0,DZ,Africa,DZA,42228429.0,Algeria
191,29/02/2020,29,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
192,28/02/2020,28,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
193,27/02/2020,27,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
194,26/02/2020,26,2,2020,1,0,DZ,Africa,DZA,42228429.0,Algeria
