,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
94,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
95,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
96,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
97,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
98,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
99,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
100,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
101,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
102,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0,Asia
103,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2866376.0,Europe
104,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2866376.0,Europe
105,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2866376.0,Europe
106,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
107,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2866376.0,Europe
108,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2866376.0,Europe
109,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2866376.0,Europe
110,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
111,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376.0,Europe
112,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
113,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376.0,Europe
114,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376.0,Europe
115,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
116,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376.0,Europe
117,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376.0,Europe
118,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376.0,Europe
119,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376.0,Europe
120,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376.0,Europe
121,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376.0,Europe
122,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376.0,Europe
123,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376.0,Europe
124,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
125,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2866376.0,Europe
126,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2866376.0,Europe
127,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376.0,Europe
128,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2866376.0,Europe
129,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2866376.0,Europe
130,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2866376.0,Europe
131,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
132,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2866376.0,Europe
133,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2866376.0,Europe
134,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2866376.0,Europe
135,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2866376.0,Europe
136,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2866376.0,Europe
137,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
138,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376.0,Europe
139,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
140,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376.0,Europe
