,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
126,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376.0
127,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376.0
128,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376.0
129,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376.0
130,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376.0
131,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376.0
132,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376.0
133,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376.0
134,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376.0
135,15/04/2020,15,4,2020,87,13,Algeria,DZ,DZA,42228429.0
136,14/04/2020,14,4,2020,69,20,Algeria,DZ,DZA,42228429.0
137,13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,42228429.0
138,12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,42228429.0
139,11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,42228429.0
140,10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,42228429.0
141,09/04/2020,9,4,2020,104,11,Algeria,DZ,DZA,42228429.0
142,08/04/2020,8,4,2020,45,21,Algeria,DZ,DZA,42228429.0
143,07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,42228429.0
144,06/04/2020,6,4,2020,20,22,Algeria,DZ,DZA,42228429.0
145,05/04/2020,5,4,2020,314,47,Algeria,DZ,DZA,42228429.0
146,04/04/2020,4,4,2020,139,25,Algeria,DZ,DZA,42228429.0
147,03/04/2020,3,4,2020,0,0,Algeria,DZ,DZA,42228429.0
148,02/04/2020,2,4,2020,263,23,Algeria,DZ,DZA,42228429.0
149,01/04/2020,1,4,2020,73,4,Algeria,DZ,DZA,42228429.0
150,31/03/2020,31,3,2020,57,2,Algeria,DZ,DZA,42228429.0
151,30/03/2020,30,3,2020,45,3,Algeria,DZ,DZA,42228429.0
152,29/03/2020,29,3,2020,104,5,Algeria,DZ,DZA,42228429.0
153,28/03/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429.0
154,27/03/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429.0
155,26/03/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429.0
156,25/03/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429.0
157,24/03/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429.0
158,23/03/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429.0
159,22/03/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429.0
160,21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429.0
161,20/03/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429.0
162,19/03/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429.0
163,18/03/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429.0
164,17/03/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429.0
165,16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429.0
166,15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429.0
167,14/03/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429.0
168,13/03/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429.0
169,12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429.0
170,09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429.0
171,06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429.0
172,05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429.0
173,04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429.0
174,02/03/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429.0
175,01/03/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429.0
176,29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429.0
177,28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429.0
178,27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429.0
179,26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429.0
180,25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429.0
181,24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429.0
182,23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429.0
183,22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429.0
184,21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429.0
185,20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429.0
186,19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,42228429.0
187,18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,42228429.0
188,17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,42228429.0
189,16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,42228429.0
190,15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,42228429.0
191,14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,42228429.0
192,13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,42228429.0
193,12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,42228429.0
194,11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,42228429.0
195,10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,42228429.0
196,09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,42228429.0
197,08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,42228429.0
198,07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,42228429.0
199,06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,42228429.0
200,05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,42228429.0
201,04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,42228429.0
202,03/02/2020,3,2,2020,0,0,Algeria,DZ,DZA,42228429.0
203,02/02/2020,2,2,2020,0,0,Algeria,DZ,DZA,42228429.0
204,01/02/2020,1,2,2020,0,0,Algeria,DZ,DZA,42228429.0
205,31/01/2020,31,1,2020,0,0,Algeria,DZ,DZA,42228429.0
206,30/01/2020,30,1,2020,0,0,Algeria,DZ,DZA,42228429.0
207,29/01/2020,29,1,2020,0,0,Algeria,DZ,DZA,42228429.0
208,28/01/2020,28,1,2020,0,0,Algeria,DZ,DZA,42228429.0
